SeqID	Localization	Score
O82882 	Extracellular	10.00
P0A925 	CytoplasmicMembrane	10.00
P0AC25 	CytoplasmicMembrane	10.00
P43261 	OuterMembrane	10.00
P60063 	CytoplasmicMembrane	10.00
P69743 	CytoplasmicMembrane	10.00
Q7BSW5 	Extracellular	10.00
Q7DB77 	Extracellular	10.00
Q8XD24 	CytoplasmicMembrane	10.00
P0A7E7 	Cytoplasmic	9.97
P0ABJ0 	CytoplasmicMembrane	10.00
P0AC77 	Unknown	2.00
P0AEE4 	Periplasmic	9.44
P58409 	Cytoplasmic	9.97
Q8X5L7 	CytoplasmicMembrane	10.00
Q8X739 	CytoplasmicMembrane	10.00
Q8X903 	CytoplasmicMembrane	10.00
Q8X9L0 	CytoplasmicMembrane	10.00
Q8X9Z2 	Cytoplasmic	8.96
Q8XA47 	CytoplasmicMembrane	10.00
Q8XAS7 	CytoplasmicMembrane	10.00
Q8XB92 	Cytoplasmic	9.97
Q8XBV3 	Cytoplasmic	9.97
Q8XC39 	CytoplasmicMembrane	10.00
A0A0H3JD84 	CytoplasmicMembrane	7.88
A0A0H3JID1 	Cytoplasmic	9.97
A0A0H3JML2 	CytoplasmicMembrane	10.00
P0A3R8 	CytoplasmicMembrane	10.00
P0A6A1 	CytoplasmicMembrane	10.00
P0A7A3 	Cytoplasmic	9.97
P0AA79 	CytoplasmicMembrane	10.00
P0AA87 	CytoplasmicMembrane	10.00
P0AA94 	CytoplasmicMembrane	10.00
P0AAA0 	Unknown	2.50
P0AAG7 	CytoplasmicMembrane	10.00
P0AAY0 	Unknown	2.50
P0AB08 	Unknown	2.50
P0AB69 	CytoplasmicMembrane	10.00
P0ABA2 	CytoplasmicMembrane	10.00
P0ABB9 	CytoplasmicMembrane	10.00
P0ABG0 	CytoplasmicMembrane	10.00
P0ABG2 	CytoplasmicMembrane	10.00
P0ABG6 	CytoplasmicMembrane	10.00
P0ABG8 	CytoplasmicMembrane	10.00
P0ABI6 	CytoplasmicMembrane	10.00
P0ABJ7 	CytoplasmicMembrane	10.00
P0ABK4 	CytoplasmicMembrane	10.00
P0ABL7 	CytoplasmicMembrane	10.00
P0ABN3 	CytoplasmicMembrane	10.00
P0ABN7 	CytoplasmicMembrane	10.00
