ID	Evidences length	Evidences list	Complete evidences
O82882	1	TM	TM
P0A925	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AC25	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P43261	1	TM	TM
P60063	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P69743	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q7BSW5	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q7DB77	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8XD24	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0A7E7	1	TM	TM
P0ABJ0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AC77	1	PHOBIUS_TM	PHOBIUS_TM
P0AEE4	1	TM	TM
P58409	1	SL	SL
Q8X5L7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X739	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X903	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X9L0	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8X9Z2	1	PHOBIUS_TM	PHOBIUS_TM
Q8XA47	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8XAS7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XB92	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XBV3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8XC39	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JD84	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JID1	1	SL	SL
A0A0H3JML2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0A3R8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0A6A1	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0A7A3	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0AA79	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AA87	1	TM	TM
P0AA94	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AAA0	1	TM	TM
P0AAG7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AAY0	1	TM	TM
P0AB08	1	TM	TM
P0AB69	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0ABA2	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0ABB9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0ABG0	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0ABG2	4	GPI|PHOBIUS_TM|SL|TM	GPI|PHOBIUS_TM|SL|TM
