# SignalP-5.0	Organism: euk	Timestamp: 20260407125043
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
A0A0H3JIR1	OTHER	0.001041	0.998959	
A0A0H3JIR2	OTHER	0.000685	0.999315	
A0A0H3JIS1	OTHER	0.053492	0.946508	
A0A0H3JIS7	OTHER	0.000598	0.999402	
A0A0H3JIT2	OTHER	0.000551	0.999449	
A0A0H3JIT3	OTHER	0.000415	0.999585	
A0A0H3JIT5	OTHER	0.000950	0.999050	
A0A0H3JIU0	OTHER	0.000567	0.999433	
A0A0H3JIV1	OTHER	0.003575	0.996425	
A0A0H3JIV5	SP(Sec/SPI)	0.831641	0.168359	CS pos: 30-31. SYA-AE. Pr: 0.6971
A0A0H3JIV8	OTHER	0.001376	0.998624	
A0A0H3JIW9	OTHER	0.001247	0.998753	
A0A0H3JIX3	OTHER	0.003194	0.996806	
A0A0H3JIY1	OTHER	0.059384	0.940616	
A0A0H3JIZ1	OTHER	0.000314	0.999686	
A0A0H3JIZ3	OTHER	0.001044	0.998956	
A0A0H3JJ11	OTHER	0.001746	0.998254	
A0A0H3JJ22	OTHER	0.002121	0.997879	
A0A0H3JJ32	OTHER	0.000833	0.999167	
A0A0H3JJ33	SP(Sec/SPI)	0.984022	0.015978	CS pos: 28-29. VQA-KT. Pr: 0.8523
A0A0H3JJ35	OTHER	0.002483	0.997517	
A0A0H3JJ40	OTHER	0.003863	0.996137	
A0A0H3JJ41	OTHER	0.000545	0.999455	
A0A0H3JJ47	OTHER	0.002090	0.997910	
A0A0H3JJ64	OTHER	0.188445	0.811555	
A0A0H3JJ70	OTHER	0.001444	0.998556	
A0A0H3JJ80	OTHER	0.029428	0.970572	
A0A0H3JJ86	OTHER	0.000767	0.999233	
A0A0H3JJ90	OTHER	0.001130	0.998870	
A0A0H3JJ95	OTHER	0.000703	0.999297	
A0A0H3JJA1	OTHER	0.000917	0.999083	
A0A0H3JJA5	OTHER	0.000791	0.999209	
A0A0H3JJA8	OTHER	0.001308	0.998692	
A0A0H3JJA9	OTHER	0.003142	0.996858	
A0A0H3JJB4	OTHER	0.003389	0.996611	
A0A0H3JJC0	OTHER	0.003586	0.996414	
A0A0H3JJC5	OTHER	0.001564	0.998436	
A0A0H3JJC9	OTHER	0.001819	0.998181	
A0A0H3JJD2	OTHER	0.055917	0.944083	
A0A0H3JJD6	OTHER	0.001031	0.998969	
A0A0H3JJE5	OTHER	0.000351	0.999649	
A0A0H3JJF3	SP(Sec/SPI)	0.997082	0.002918	CS pos: 23-24. IAA-AL. Pr: 0.3644
A0A0H3JJF9	OTHER	0.003133	0.996867	
A0A0H3JJG1	OTHER	0.006378	0.993622	
A0A0H3JJH4	OTHER	0.002826	0.997174	
A0A0H3JJI1	OTHER	0.001384	0.998616	
A0A0H3JJK3	OTHER	0.002965	0.997035	
A0A0H3JJK6	OTHER	0.000379	0.999621	
A0A0H3JJL1	OTHER	0.004472	0.995528	
A0A0H3JJL2	OTHER	0.002146	0.997854	
A0A0H3JJL6	OTHER	0.001081	0.998919	
A0A0H3JJM1	OTHER	0.001067	0.998933	
A0A0H3JJM5	OTHER	0.002155	0.997845	
A0A0H3JJM9	OTHER	0.001198	0.998802	
A0A0H3JJN9	OTHER	0.051389	0.948611	
A0A0H3JJP8	OTHER	0.001201	0.998799	
A0A0H3JJQ3	OTHER	0.001317	0.998683	
A0A0H3JJR6	OTHER	0.001081	0.998919	
A0A0H3JJS0	OTHER	0.035674	0.964326	
A0A0H3JJS7	OTHER	0.000906	0.999094	
A0A0H3JJS9	SP(Sec/SPI)	0.996631	0.003369	CS pos: 23-24. ALA-AA. Pr: 0.6056
A0A0H3JJT3	OTHER	0.018625	0.981375	
A0A0H3JJU4	OTHER	0.000747	0.999253	
A0A0H3JJW1	OTHER	0.001263	0.998737	
A0A0H3JJW4	SP(Sec/SPI)	0.990795	0.009205	CS pos: 18-19. SYS-LK. Pr: 0.6786
A0A0H3JJX2	OTHER	0.007124	0.992876	
A0A0H3JJZ5	OTHER	0.001920	0.998080	
A0A0H3JJZ8	OTHER	0.000558	0.999442	
A0A0H3JK01	OTHER	0.004113	0.995887	
A0A0H3JK05	OTHER	0.004557	0.995443	
A0A0H3JK08	OTHER	0.000950	0.999050	
A0A0H3JK13	OTHER	0.000195	0.999805	
A0A0H3JK14	OTHER	0.000263	0.999737	
A0A0H3JK20	OTHER	0.000694	0.999306	
A0A0H3JK24	OTHER	0.000828	0.999172	
A0A0H3JK28	OTHER	0.003357	0.996643	
A0A0H3JK32	OTHER	0.001617	0.998383	
A0A0H3JK33	OTHER	0.000832	0.999168	
A0A0H3JK35	SP(Sec/SPI)	0.981274	0.018726	CS pos: 28-29. CSG-SK. Pr: 0.7056
A0A0H3JK39	OTHER	0.000487	0.999513	
A0A0H3JK53	SP(Sec/SPI)	0.994356	0.005644	CS pos: 26-27. SLA-DV. Pr: 0.5206
A0A0H3JK56	OTHER	0.002218	0.997782	
A0A0H3JK63	OTHER	0.006578	0.993422	
A0A0H3JK93	OTHER	0.006062	0.993938	
A0A0H3JKB2	SP(Sec/SPI)	0.877463	0.122537	CS pos: 20-21. SAC-GY. Pr: 0.2870
A0A0H3JKD6	OTHER	0.012114	0.987886	
A0A0H3JKE0	OTHER	0.003627	0.996373	
A0A0H3JKH3	OTHER	0.017909	0.982091	
A0A0H3JKI2	OTHER	0.001054	0.998946	
A0A0H3JKI3	OTHER	0.017442	0.982558	
A0A0H3JKI8	OTHER	0.137822	0.862178	
A0A0H3JKJ3	OTHER	0.000371	0.999629	
A0A0H3JKJ8	OTHER	0.000440	0.999560	
A0A0H3JKK4	OTHER	0.166889	0.833111	
A0A0H3JKP8	OTHER	0.015895	0.984105	
A0A0H3JKR7	OTHER	0.024158	0.975842	
A0A0H3JKW1	SP(Sec/SPI)	0.999489	0.000511	CS pos: 20-21. GYA-AT. Pr: 0.8409
A0A0H3JKZ0	OTHER	0.029630	0.970370	
A0A0H3JKZ9	OTHER	0.000805	0.999195	
A0A0H3JL31	OTHER	0.001623	0.998377	
A0A0H3JL45	OTHER	0.000547	0.999453	
A0A0H3JLC5	OTHER	0.002652	0.997348	
A0A0H3JLD1	OTHER	0.001043	0.998957	
A0A0H3JLH3	SP(Sec/SPI)	0.996441	0.003559	CS pos: 22-23. ATA-KQ. Pr: 0.8298
A0A0H3JLK3	OTHER	0.001435	0.998565	
A0A0H3JLK7	SP(Sec/SPI)	0.656108	0.343892	CS pos: 28-29. ARA-LP. Pr: 0.5683
A0A0H3JLL2	OTHER	0.043956	0.956044	
A0A0H3JLQ3	OTHER	0.003339	0.996661	
A0A0H3JLS2	OTHER	0.001105	0.998895	
A0A0H3JLT2	OTHER	0.002592	0.997408	
A0A0H3JLT9	OTHER	0.001583	0.998417	
A0A0H3JLX3	OTHER	0.000560	0.999440	
A0A0H3JLY3	OTHER	0.013294	0.986706	
A0A0H3JLZ9	SP(Sec/SPI)	0.997977	0.002023	CS pos: 23-24. AHA-QT. Pr: 0.8840
A0A0H3JM06	OTHER	0.001693	0.998307	
A0A0H3JM10	OTHER	0.025833	0.974167	
A0A0H3JM16	OTHER	0.003147	0.996853	
A0A0H3JM20	OTHER	0.001595	0.998405	
A0A0H3JM24	OTHER	0.002069	0.997931	
A0A0H3JM57	OTHER	0.001185	0.998815	
A0A0H3JM58	OTHER	0.180258	0.819742	
A0A0H3JM62	OTHER	0.002163	0.997837	
A0A0H3JM69	OTHER	0.034123	0.965877	
A0A0H3JM87	OTHER	0.000777	0.999223	
A0A0H3JM93	OTHER	0.015225	0.984775	
A0A0H3JMA0	OTHER	0.001027	0.998973	
A0A0H3JMA8	OTHER	0.001475	0.998525	
A0A0H3JMB3	OTHER	0.002614	0.997386	
A0A0H3JMB5	OTHER	0.325055	0.674945	
A0A0H3JMC7	SP(Sec/SPI)	0.546562	0.453438	CS pos: 18-19. SLA-TW. Pr: 0.2859
A0A0H3JMD2	OTHER	0.000577	0.999423	
A0A0H3JME7	SP(Sec/SPI)	0.997033	0.002967	CS pos: 20-21. CYG-ET. Pr: 0.8258
A0A0H3JMF0	SP(Sec/SPI)	0.995542	0.004458	CS pos: 23-24. VMA-GS. Pr: 0.8641
A0A0H3JMF4	OTHER	0.001203	0.998797	
A0A0H3JMJ0	OTHER	0.001036	0.998964	
A0A0H3JMN1	OTHER	0.000182	0.999818	
A0A0H3JMP4	OTHER	0.003598	0.996402	
A0A0H3JMQ0	OTHER	0.202475	0.797525	
A0A0H3JMQ7	OTHER	0.236431	0.763569	
A0A0H3JMR0	OTHER	0.000244	0.999756	
A0A0H3JMR3	OTHER	0.001045	0.998955	
A0A0H3JMS7	OTHER	0.000692	0.999308	
A0A0H3JMT8	OTHER	0.000764	0.999236	
A0A0H3JMW6	OTHER	0.000900	0.999100	
A0A0H3JMY9	OTHER	0.004989	0.995011	
A0A0H3JN05	OTHER	0.001376	0.998624	
A0A0H3JN14	OTHER	0.024298	0.975702	
A0A0H3JN46	OTHER	0.006912	0.993088	
A0A0H3JN79	OTHER	0.000605	0.999395	
A0A0H3JNA0	SP(Sec/SPI)	0.956931	0.043069	CS pos: 29-30. GMA-AF. Pr: 0.6840
A0A0H3JNG2	OTHER	0.001366	0.998634	
A0A0H3JNS9	OTHER	0.002986	0.997014	
A0A0H3JP21	OTHER	0.001318	0.998682	
A0A0H3JPB3	OTHER	0.001625	0.998375	
A0A0H3JPC3	OTHER	0.002426	0.997574	
A0A0H3JPC9	OTHER	0.125834	0.874166	
A0A0H3JPT2	OTHER	0.000297	0.999703	
A0A0H3JPU8	SP(Sec/SPI)	0.993545	0.006455	CS pos: 19-20. ART-AP. Pr: 0.5766
A0A0H3JPX9	OTHER	0.001120	0.998880	
A0A0H3JQK3	OTHER	0.003216	0.996784	
A0A0H3JQR6	SP(Sec/SPI)	0.804573	0.195427	CS pos: 28-29. SYA-LV. Pr: 0.4533
A0A0H3JR74	OTHER	0.001603	0.998397	
A0A0H3JR81	OTHER	0.000574	0.999426	
A0A0H3JR87	OTHER	0.001208	0.998792	
A0A0H3JR91	OTHER	0.001203	0.998797	
A0A0H3JR97	OTHER	0.000622	0.999378	
A0A0H3JRA1	OTHER	0.005371	0.994629	
A0A0H3JRA7	OTHER	0.000500	0.999500	
A0A0H3JRB3	OTHER	0.002097	0.997903	
A0A0H3JRB9	OTHER	0.001064	0.998936	
A0A0H3JRC5	OTHER	0.001374	0.998626	
A0A0H3JRC9	OTHER	0.001858	0.998142	
A0A0H3JRD3	OTHER	0.001961	0.998039	
A0A0H3JRM4	OTHER	0.028546	0.971454	
A0A0H3JRP5	OTHER	0.000609	0.999391	
A0A0H3JRT5	OTHER	0.001536	0.998464	
A0A0H3JRU0	OTHER	0.001602	0.998398	
A0A0H3JRW6	OTHER	0.020159	0.979841	
A0A0H3JS36	SP(Sec/SPI)	0.952357	0.047643	CS pos: 28-29. AYA-EN. Pr: 0.6365
A0A0H3TQU6	OTHER	0.001769	0.998231	
A0A0H3TQU7	OTHER	0.001744	0.998256	
A0A0T7C0U9	OTHER	0.006018	0.993982	
A0A0T7C0V9	OTHER	0.000410	0.999590	
A0A0T7C0W0	OTHER	0.001783	0.998217	
A0A0T7C0W5	OTHER	0.017670	0.982330	
A0A0T7C0X3	OTHER	0.002547	0.997453	
A0A0T7C132	OTHER	0.000841	0.999159	
A0A0X8R8P1	OTHER	0.011897	0.988103	
A0A0X8R9H9	OTHER	0.000687	0.999313	
A0A0X8RA09	OTHER	0.001801	0.998199	
A0A0X8RA30	OTHER	0.003170	0.996830	
A0A0X8RA45	OTHER	0.003248	0.996752	
A0A0X8RA60	OTHER	0.000814	0.999186	
A0A0X8RB14	OTHER	0.002794	0.997206	
A0A0X8RB18	OTHER	0.001471	0.998529	
A0A0X8RB37	OTHER	0.002349	0.997651	
A0A0X8RBR6	OTHER	0.001222	0.998778	
A0A0X8RCX9	OTHER	0.003925	0.996075	
A0A0X8RD76	OTHER	0.001884	0.998116	
A0A109YPI1	OTHER	0.000768	0.999232	
A0A109YPI2	OTHER	0.000290	0.999710	
A0A109YPS0	OTHER	0.001972	0.998028	
A0A109YQF0	OTHER	0.002624	0.997376	
A0A120LVA1	OTHER	0.000681	0.999319	
A0A120LVN2	OTHER	0.001228	0.998772	
A0A120LVT4	OTHER	0.002004	0.997996	
A0A143EAU0	OTHER	0.001876	0.998124	
A0A143EC46	SP(Sec/SPI)	0.965351	0.034649	CS pos: 18-19. VHA-GM. Pr: 0.9212
A0A143EFV7	OTHER	0.009931	0.990069	
A0A143ENV1	OTHER	0.000230	0.999770	
A0A152AXK8	OTHER	0.000353	0.999647	
A0A152GJS4	OTHER	0.000337	0.999663	
A0A152TTX0	OTHER	0.003100	0.996900	
A0A152TW83	OTHER	0.003394	0.996606	
A0A152UKI9	OTHER	0.000899	0.999101	
A0A152UND9	OTHER	0.000857	0.999143	
A0A152UNM3	OTHER	0.000419	0.999581	
A0A152UP93	SP(Sec/SPI)	0.989873	0.010127	CS pos: 25-26. AFA-DI. Pr: 0.9509
A0A152UYW9	OTHER	0.004336	0.995664	
A0A152UZ65	OTHER	0.014100	0.985900	
A0A152UZL9	OTHER	0.000414	0.999586	
A0A152V2F9	OTHER	0.000579	0.999421	
A0A152V4N3	OTHER	0.000710	0.999290	
A0A152V5A8	OTHER	0.000519	0.999481	
A0A152V6N1	SP(Sec/SPI)	0.995750	0.004250	CS pos: 20-21. VLA-GG. Pr: 0.8816
A0A152V9Q1	OTHER	0.001177	0.998823	
A0A152VFA8	SP(Sec/SPI)	0.992204	0.007796	CS pos: 24-25. VTP-AY. Pr: 0.4066
A0A152VKR3	OTHER	0.001897	0.998103	
A0A152VP78	SP(Sec/SPI)	0.710805	0.289195	CS pos: 22-23. SWA-VN. Pr: 0.6434
A0A2Z5XGZ6	OTHER	0.004699	0.995301	
