SEQENCE ID                     TM SP PREDICTION
O82882                          0  Y n18-28c35/36o
P0A6B9                          0  0 o
P0A925                          6  0 i12-29o49-68i75-96o157-178i185-206o212-230i
P0A9Q8                          0  0 o
P0AC25                          6  0 i35-55o75-98i118-141o161-180i192-212o255-277i
P0AGG3                          0  0 o
P43261                          0  Y n20-31c39/40o
P60063                         12  0 i12-35o41-61i91-116o122-141i153-173o193-217i229-254o274-296i317-340o352-374i386-404o410-428i
P69743                          1  Y n21-32c37/38o332-355i
Q7BSW5                          1  0 i39-55o
Q7DB77                          2  0 i231-255o361-383i
Q7DBF3                          0  0 o
Q8X8I2                          0  0 o
Q8XAS4                          0  Y n20-30c35/36o
Q8XB78                          0  0 o
Q8XBX8                          0  0 o
Q8XD24                          8  0 i185-205o217-238i245-264o284-302i436-458o464-487i778-797o803-824i
Q8XE73                          0  Y n3-10c18/19o
Q9S5G5                          0  0 o
P0A6F2                          0  0 o
P0A6N3                          0  0 o
P0A6Q4                          0  0 o
P0A719                          0  0 o
P0A760                          0  0 o
P0A797                          0  0 o
P0A7E7                          0  0 o
P0A7Y2                          0  0 o
P0A892                          0  0 o
P0A911                          0  Y n5-16c21/22o
P0A922                          0  Y n3-14c20/21o
P0A952                          0  0 o
P0A957                          0  0 o
P0A9C7                          0  0 o
P0A9M6                          0  0 o
P0A9R0                          0  0 o
P0A9T2                          0  0 o
P0AB82                          0  0 o
P0ABJ0                         14  0 o16-38i59-79o103-126i146-170o190-213i233-255o275-298i310-334o346-368i380-403o415-436i457-479o491-518i593-626o
P0AC49                          0  0 o
P0AC77                          1  0 o6-23i
P0ACC8                          0  0 o
P0ACD6                          0  0 o
P0ACV7                          0  0 o
P0ADI5                          0  0 o
P0ADS0                          0  0 o
P0AE10                          0  0 o
P0AE77                          0  0 o
P0AEA9                          0  0 o
P0AEE4                          0  Y n9-20c28/29o
P0AES7                          0  0 o
P0AF19                          0  0 o
P0AFG7                          0  0 o
P0AFI3                          0  0 o
P0AFU5                          0  0 o
P0AFV6                          0  Y n14-24c29/30o
P0AGF8                          0  0 o
P0C039                          0  0 o
